Index,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
NIFTY SMALLCAP 250,26-Dec-23,13848.6,13857.5,13790.15,13833,734283323,15799.06
NIFTY SMALLCAP 250,27-Dec-23,13913.5,13939.75,13799.45,13874.4,803065710,17655.65
NIFTY SMALLCAP 250,28-Dec-23,13939.5,13968.85,13892.95,13956.55,1239173529,23327.33
NIFTY SMALLCAP 250,29-Dec-23,14005.2,14059.05,13928.75,14041.3,863691568,19359.85
NIFTY SMALLCAP 250,01-Jan-24,14081.9,14167.95,14074.7,14129.7,823969589,16905.98
NIFTY SMALLCAP 250,02-Jan-24,14173.3,14212.6,13960.3,14124.25,1027487088,19605.16
NIFTY SMALLCAP 250,03-Jan-24,14142.45,14170.25,14072.2,14141,1174795123,18486.3
NIFTY SMALLCAP 250,04-Jan-24,14209.25,14297.75,14207.75,14286.3,1082219316,20579.41
NIFTY SMALLCAP 250,05-Jan-24,14362.75,14402.6,14256.55,14382.4,1258445169,19997.15
NIFTY SMALLCAP 250,08-Jan-24,14445.3,14456.3,14288.15,14298.2,986092810,17766.24
NIFTY SMALLCAP 250,09-Jan-24,14403.35,14448.75,14336.5,14350.9,1348939401,17577.36
NIFTY SMALLCAP 250,10-Jan-24,14383.65,14410.7,14285.9,14379.85,1421848020,22635.73
NIFTY SMALLCAP 250,11-Jan-24,14442.25,14517.65,14440.2,14498.55,1549077527,25058.91
NIFTY SMALLCAP 250,12-Jan-24,14580.75,14601.3,14540.8,14552.75,1281840049,19429.81
NIFTY SMALLCAP 250,15-Jan-24,14645.25,14676.05,14509.7,14589,1229144594,20443.48
NIFTY SMALLCAP 250,16-Jan-24,14627.15,14658.2,14406.9,14549.05,1239338720,23030.36
NIFTY SMALLCAP 250,17-Jan-24,14432.05,14556.35,14337.35,14396.6,1237426429,21163.19
NIFTY SMALLCAP 250,18-Jan-24,14386.3,14455.6,14042.7,14394.95,1110462221,20761.13
NIFTY SMALLCAP 250,19-Jan-24,14510.5,14603.9,14505.5,14548.55,1323021392,22302.23
NIFTY SMALLCAP 250,20-Jan-24,14622.25,14662.6,14581.2,14614.2,1338286575,22091.16
NIFTY SMALLCAP 250,23-Jan-24,14716.95,14739.9,14156.6,14217.35,1480989632,24742.36
NIFTY SMALLCAP 250,24-Jan-24,14246.95,14479.5,14073.15,14467.35,1411208434,23628.74
NIFTY SMALLCAP 250,25-Jan-24,14523.9,14565.55,14447,14543.8,1510390647,24088.44
NIFTY SMALLCAP 100,26-Dec-23,14904.15,14914.15,14822.25,14866.45,444143523,9379.14
NIFTY SMALLCAP 100,27-Dec-23,14953.1,14989.9,14821.9,14933.35,500681694,9842.99
NIFTY SMALLCAP 100,28-Dec-23,15006.75,15062.7,14965.15,15051.25,935251034,15550.45
NIFTY SMALLCAP 100,29-Dec-23,15114.95,15165,15019.8,15143.65,619579750,11840.98
NIFTY SMALLCAP 100,01-Jan-24,15195.05,15274.35,15182.1,15226.1,474953767,8773.54
NIFTY SMALLCAP 100,02-Jan-24,15269.45,15324.75,15015.2,15189.9,465792213,8924.49
NIFTY SMALLCAP 100,03-Jan-24,15199.35,15226.95,15096.25,15188.8,567824616,8393.1
NIFTY SMALLCAP 100,04-Jan-24,15265.5,15367.95,15263.45,15339.2,621177260,10383.43
NIFTY SMALLCAP 100,05-Jan-24,15426.4,15458.05,15285.75,15438.85,543483503,9493.43
NIFTY SMALLCAP 100,08-Jan-24,15511.65,15523.8,15326.85,15342.55,539470966,8708.78
NIFTY SMALLCAP 100,09-Jan-24,15462.6,15506.8,15384.25,15409.7,770779661,9319.37
NIFTY SMALLCAP 100,10-Jan-24,15445.4,15465.8,15288.3,15386.7,585327277,10941.82
NIFTY SMALLCAP 100,11-Jan-24,15450.6,15496.25,15420.7,15476.45,871230611,11889.8
NIFTY SMALLCAP 100,12-Jan-24,15568.55,15609.7,15526.9,15544.65,656539753,10762.14
NIFTY SMALLCAP 100,15-Jan-24,15642.9,15687.1,15503.05,15610.5,687346551,11171.79
NIFTY SMALLCAP 100,16-Jan-24,15620.75,15653.9,15376.2,15535.3,725964934,12510.63
